,,,,,,,,,,,,,,,,,,,,,,
LUM,0,1,2,3,A,B,C,D,E,F,G,H,I,J,K,L,4,M,5,N,6,O
hexademcimal,,,,,,,,,,,,,,,,,,,,,,
300,0x02,0x18,0x08,0x24,0x3A,0x46,0x18,0xAC,0xB7,0xA1,0xA7,0xB0,0x9B,0xBB,0xBF,0xB1,0x00,0xBD,0x00,0xB0,0x00,0xFB
280,0x02,0x18,0x08,0x24,0x3B,0x46,0x18,0xAE,0xB8,0xA2,0xA7,0xB0,0x9B,0xBB,0xC0,0xB2,0x00,0xB9,0x00,0xAC,0x00,0xF5
260,0x02,0x18,0x08,0x24,0x3C,0x47,0x19,0xAE,0xB7,0xA2,0xA9,0xB2,0x9D,0xBC,0xC1,0xB2,0x00,0xB2,0x00,0xA6,0x00,0xED
240,0x02,0x18,0x08,0x24,0x3C,0x47,0x19,0xAF,0xB8,0xA3,0xAA,0xB3,0x9E,0xBD,0xC2,0xB4,0x00,0xAC,0x00,0xA0,0x00,0xE4
220,0x02,0x18,0x08,0x24,0x3E,0x44,0x19,0xB0,0xB9,0xA4,0xAA,0xB3,0x9E,0xBF,0xC5,0xB6,0x00,0xA5,0x00,0x99,0x00,0xDB
200,0x02,0x18,0x08,0x24,0x40,0x44,0x1A,0xB0,0xBA,0xA4,0xAB,0xB4,0xA0,0xC1,0xC6,0xB7,0x00,0x9E,0x00,0x93,0x00,0xD2
180,0x02,0x18,0x08,0x24,0x41,0x44,0x1A,0xB1,0xBA,0xA5,0xAD,0xB6,0xA2,0xC2,0xC7,0xB8,0x00,0x96,0x00,0x8C,0x00,0xC8
160,0x02,0x18,0x08,0x24,0x40,0x41,0x18,0xB1,0xBA,0xA6,0xAE,0xB7,0xA2,0xC3,0xC8,0xBA,0x00,0x90,0x00,0x86,0x00,0xBF
140,0x02,0x18,0x08,0x24,0x43,0x3E,0x18,0xB1,0xBA,0xA6,0xB0,0xB9,0xA4,0xC4,0xCA,0xBC,0x00,0x88,0x00,0x7E,0x00,0xB4
120,0x02,0x18,0x08,0x24,0x42,0x3A,0x17,0xB3,0xBB,0xA7,0xB1,0xBA,0xA6,0xC6,0xCC,0xBD,0x00,0x7F,0x00,0x76,0x00,0xA9
100,0x02,0x18,0x08,0x24,0x44,0x35,0x18,0xB4,0xBC,0xA8,0xB2,0xBB,0xA7,0xC8,0xCE,0xC0,0x00,0x76,0x00,0x6D,0x00,0x9C
80,0x02,0x18,0x08,0x24,0x46,0x2E,0x18,0xB4,0xBB,0xA7,0xB4,0xBD,0xAA,0xCA,0xD0,0xC2,0x00,0x6C,0x00,0x64,0x00,0x8F
60,0x02,0x18,0x08,0x24,0x48,0x26,0x17,0xB6,0xBD,0xA9,0xB6,0xBF,0xAD,0xCD,0xD3,0xC5,0x00,0x62,0x00,0x58,0x00,0x85
40,0x02,0x18,0x08,0x24,0x50,0x1E,0x17,0xB7,0xBF,0xAB,0xB8,0xC1,0xB0,0xCF,0xD4,0xC7,0x00,0x59,0x00,0x4F,0x00,0x78
20,0x02,0x18,0x08,0x24,0x5C,0x15,0x16,0xB8,0xC1,0xAD,0xBA,0xC3,0xB3,0xD1,0xD5,0xCA,0x00,0x4F,0x00,0x45,0x00,0x6B
10,0x02,0x18,0x08,0x24,0x63,0x10,0x16,0xB8,0xC2,0xAE,0xBB,0xC4,0xB5,0xD2,0xD6,0xCB,0x00,0x4A,0x00,0x41,0x00,0x65
5,0x02,0x18,0x08,0x24,0x69,0x0D,0x16,0xB9,0xC3,0xAF,0xBC,0xC5,0xB6,0xD3,0xD6,0xCC,0x00,0x48,0x00,0x3E,0x00,0x62
1,0x02,0x18,0x08,0x24,0x6E,0x0B,0x15,0xBA,0xC4,0xB0,0xBD,0xC6,0xB7,0xD4,0xD7,0xCD,0x00,0x46,0x00,0x3C,0x00,0x5F
,,,,,,,,,,,,,,,,,,,,,,
decimal,,,,,,,,,,,,,,,,,,,,,,
300,2,24,8,36,58,70,24,172,183,161,167,176,155,187,191,177,0,189,0,176,0,251
280,2,24,8,36,59,70,24,174,184,162,167,176,155,187,192,178,0,185,0,172,0,245
